,AAPL,AMZN,AVGO,COST,GOOGL,META,MSFT,NVDA,PEP,TSLA
2021-12-30,0.6975257243979129,,0.8242415872447625,1.504342613269479,0.3699279225155541,1.2268115186836892,0.8697505368506744,1.1166118002271448,6.096067361664363,0.8981084549248696
2021-12-31,0.6621721968691574,,0.8246504223054744,1.5144534691930893,0.4263970426810805,4.068216992436368,1.6127717875998857,1.1100070871867764,3.171173028036659,0.6230449152317177
2022-01-03,0.6787292859863662,,0.8220602846071086,1.5118126542825816,0.42680770101690757,4.094705367797577,1.605243095298535,1.1368034421935564,3.1578456655926685,0.7073532872621706
2022-01-04,0.6701150403619276,,0.8314790782858892,1.505196868988444,0.4250649810109137,4.070393717261696,1.577717646921593,1.1054404134853149,3.162410220127152,0.6777627916400936
2022-01-05,0.6522900893323257,,0.7968773998401636,1.4670217828508394,0.405564544302005,3.920897548700142,1.5171524950225654,1.0418088252658455,3.173180105769013,0.641521992586097
2022-01-06,0.6414012562144887,,0.7894787383365284,1.4667015650433501,0.40548367898213067,4.021166533820718,1.5051643328247681,1.0634721801780895,3.1739111292036255,0.627714274918952
2022-01-07,0.6420351290758396,,0.7673196844783782,1.43036785938593,0.40333328560178167,4.013063145497252,1.5059312981238993,1.0283349163930302,3.1779271793295036,0.6054639585326319
2022-01-10,0.6421097228577087,,0.7698107461496962,1.3840030533868177,0.4081977325870847,3.9680690809027324,1.5070340281566275,1.0341094693742692,3.1795698505635666,0.6238349177561651
2022-01-11,0.6528867233975877,,0.7709138265433816,1.3926195595421462,0.41133709797509127,4.044268562661308,1.5104393177858797,1.0498476019426748,3.1781090668017873,0.6275373933753189
2022-01-12,0.6545647930154157,,0.7708518339855837,1.4026770458311753,0.4163251947280321,4.030842764600294,1.5262157229036806,1.056716437149553,3.174640257977069,0.6521931800063776
2022-01-13,0.6421097228577087,,0.7401045440944177,1.3788810201210548,0.40795486526732794,3.9488373215391492,1.4616223016737402,1.0029729856482799,3.1797523695895737,0.608175962279443
2022-01-14,0.6453913264063411,,0.739088161591753,1.3418266963096614,0.41058502336424674,4.014393469388112,1.487517324902855,1.0168240367408332,3.2064058313701076,0.618817678438563
2022-01-18,0.6331973344851763,,0.7160618741292393,1.3020246475357666,0.4003336706826854,3.848085156244925,1.451312509407802,0.9776108385281882,3.175736319463696,0.6075569038650617
2022-01-19,0.619884435835974,,0.6989346599131591,1.307599938434103,0.3977388346298504,3.865501554587146,1.4545732084580818,0.9460591305224068,3.1985549870369128,0.5870045315489477
2022-01-20,0.6134704163024476,,0.6787957891689855,1.2880192599417677,0.39241370859072194,3.8288530254899715,1.4462770971214736,0.9114505438210498,3.1753712814116817,0.5873700615500107
2022-01-21,0.6056393472927898,,0.6608381701236345,1.2847912082680328,0.383712274540085,3.6668985333888116,1.4195671638091962,0.8821632758861998,3.1804827614704636,0.5564943274673151
2022-01-24,0.6026933576677229,,0.671186495597565,1.3042388469352837,0.38504424575687385,3.7339053359328314,1.421197437711648,0.8820877608921156,3.1642350946103606,0.5482993197278911
2022-01-25,0.5958318916326729,,0.6619659049117111,1.2733467946112078,0.37365519310098455,3.6303710778785776,1.3834102930981753,0.8425352140193314,3.127906545567147,0.5414603138618729
2022-01-26,0.5954962777091074,,0.6904452961518653,1.2897532180214666,0.38041977158323365,3.5636053083343255,1.4228280141048513,0.8594431438074602,3.0948639705457817,0.5526680293699511
2022-01-27,0.5937436143094103,,0.6720910673653353,1.2872188008144607,0.37974856229226345,3.5637267533126367,1.4378373026781455,0.8281934236529016,3.091943034575946,0.48881179498166455
2022-01-28,0.6351736049459439,,0.694138412366254,1.3136556414350886,0.3925417905738786,3.6492392450899684,1.478214524346957,0.8620095717296145,3.152186944232728,0.4989818630088755
2022-01-31,0.6517679328592415,,0.44014757751931094,1.34753562477299,0.39828933388796567,3.7889384806763773,1.4912574717934513,0.8081982893156475,3.167703903435079,0.5522612072172619
2022-02-01,0.6511341180927364,,0.4452860907398784,1.3562856831018952,0.405178986778555,3.8583648980023475,1.4806122172846667,0.8132154296209545,3.1461619217133263,0.5490362631869153
2022-02-02,0.6557208223498507,,0.45333210511022887,1.3925932589862244,0.43566362943705833,3.9067460519002277,1.5031501981593116,0.8331513400242033,3.2033020605974034,0.5339491905160502
2022-02-03,0.6447573373552988,,0.43636868136271084,1.394035861556816,0.42121017463012644,2.8757519072248385,1.4445987271896144,0.7904408043283413,3.201475923006748,0.5253886527755633
2022-02-04,0.643674565621282,,0.4433629386342948,1.388692493742517,0.42180780009814617,2.8676487045970585,1.4670893682617294,0.8026863103669519,3.1489000228802935,0.5443610200427828
2022-02-07,0.6409488135562355,,0.44146223529447864,1.3783260613128225,0.4097623046652346,2.7203290751651465,1.4431600811779133,0.8161859753279966,3.1364865186737845,0.5349396623883929
2022-02-08,0.6527851155124715,,0.45092057655433293,1.392379097316576,0.41034514100596187,2.663118648509216,1.4604716268569806,0.8287284476295866,3.1403206813273785,0.5435827844321323
2022-02-09,0.6581990903722472,,0.45927454352578145,1.4128984836376384,0.416800572455772,2.806083714116359,1.492360353071555,0.8814399593084389,3.138860213342461,0.5494784400576638
2022-02-10,0.64266644576398,,0.4442645020649835,1.3852456692627058,0.4080519669685417,2.7585498896313756,1.4500176977481962,0.8523611086221381,3.0736873426529048,0.5332947773836098
2022-02-11,0.6296727201970123,,0.43078687449516023,1.3617076964097137,0.3952838394993036,2.6554989974464553,1.4148200252085597,0.7904738566481802,3.0775211895296373,0.507029460465827
2022-02-14,0.6305688331918191,,0.4346633471301991,1.3533984285667442,0.3989443520242854,2.6331226673447645,1.4146280948270573,0.800969923582344,3.0432009813262235,0.5163211121851085
2022-02-15,0.6451680098194991,,0.45283634866676875,1.373062449080442,0.4021308888488853,2.673036655071302,1.4408587315443935,0.8745085598381147,3.0296920471868107,0.543836258868782
2022-02-16,0.6442720130143837,,0.448659334302412,1.3690016603244053,0.40545572888834863,2.6190924298274756,1.4391767317235225,0.875036640032181,3.035898325624773,0.5444022582177402
2022-02-17,0.6305688331918191,,0.43497886499623933,1.3759748940831156,0.3901515148352447,2.512291784665432,1.397034627768069,0.8088915049550155,3.0441135764562586,0.5166689378388074
2022-02-18,0.6246694178014369,,0.43572263861527555,1.369722705435455,0.3838638744015049,2.493544133953925,1.383579839164104,0.780340734462781,3.061638560721549,0.505248986069037
2022-02-22,0.6135426281956434,,0.43382190439682694,1.3416961328356212,0.38212852634581274,2.4441955055346356,1.3825707300188068,0.7720232190984524,3.0733219888240293,0.4843487341225553
2022-02-23,0.5976738468101994,,0.4246040150476064,1.3232078667196074,0.37557739522214684,2.40029017474415,1.3467712521300785,0.7389175361630844,3.0430184623002163,0.450454408814307
2022-02-24,0.6076430966155698,,0.4357301421229529,1.3507799862070529,0.39059898769589146,2.5109614607745727,1.4155830581279276,0.7838394865177818,2.9900772083448857,0.47210930856717687
2022-02-25,0.6155215129244671,,0.44174773912980925,1.3826006701728468,0.39580489618290093,2.545795371633127,1.4286532297420107,0.7973392145557728,3.0738701774557735,0.4774743735384779
2022-02-28,0.6165296327817691,,0.4413195451340782,1.387303090023676,0.39756376211685623,2.5524479195658496,1.4357649385431241,0.8048646727059483,2.9891639816611275,0.5131786984813457
2022-03-01,0.6093604964439315,,0.42830772173427034,1.3971351429762326,0.39463329880519166,2.4612499829858336,1.4173128514874551,0.7748946709229242,2.9623292639620327,0.5096058748206314
2022-03-02,0.6219063688454558,,0.44007241892800714,1.4106807831900927,0.39613455351878674,2.517129528663849,1.442492181599731,0.799554792293061,3.003403939235153,0.5187559997143388
2022-03-03,0.6206742352631636,,0.4346783850241864,1.424172968377956,0.3941564738234048,2.454960655813932,1.4219736289786846,0.7828506923082521,3.000188067676579,0.49481950617160925
2022-03-04,0.6092487800556649,,0.4477427638563685,1.4040013812915342,0.38828957727713187,2.4197637098902423,1.3928540543440335,0.757167336715929,3.045759405458938,0.4942299190183886
2022-03-07,0.5947988490865689,,0.4287433883590464,1.4120700161261028,0.37201701458653963,2.2674850771772874,1.3402365444364759,0.7048758544222044,2.9851201431714287,0.4743555476389775
2022-03-08,0.5878539007582587,,0.43268763959224127,1.3982841698609185,0.37415413393367664,2.3015936606883134,1.3255320152948022,0.7102238333106309,2.900959294016772,0.4860407947358631
2022-03-09,0.6084272608427272,,0.4485165515061143,1.4097460033664708,0.3927449036340327,2.4008951712874804,1.3863185904235533,0.7597420115082602,2.8923231126287687,0.5064222229419112
2022-03-10,0.591886322092621,,0.44153736300715,1.4232913020146696,0.3898292294496606,2.3611020714521977,1.3723355017229872,0.7479898302663281,2.8392173389285422,0.49423580247528703
2022-03-11,0.5777350567252301,,0.4341149734970998,1.409130929001846,0.3822963173618831,2.269178436133282,1.3458105415049395,0.7295690911891263,2.8248835956266207,0.4689138357979911
2022-03-14,0.5623891289510187,,0.4265648390847391,1.4052038632022168,0.3707585819660123,2.2573251091370072,1.3283674123491924,0.7041497756938363,2.8645754840227773,0.4518281150350765
2022-03-15,0.579079313359709,,0.4453162591637501,1.4489403214374594,0.38031674518576514,2.3226391098120884,1.3798315250232311,0.7583886956263094,2.921723833105256,0.4727696051565158
2022-03-16,0.59588156272574,,0.4561042960927594,1.451798713674229,0.3923342452982056,2.4629437133331993,1.4146218937666621,0.8086661941029842,2.9345870035626884,0.49537368463010206
2022-03-17,0.599727383415738,,0.4527611591968325,1.47691301205422,0.3939782806688719,2.513864070034486,1.41861038556382,0.8175794712247132,2.9573725145654373,0.5138684663318452
2022-03-18,0.6122730234378795,,0.4585759144673395,1.4997835656049894,0.4007090522011176,2.6184874332841455,1.4436455788332496,0.8732708639986537,2.9913677883782603,0.533790013319781
2022-03-21,0.6175005138429822,,0.4547791704612021,1.4842343012218169,0.40063840811295,2.5580115479988517,1.4375431304228095,0.8825473381769322,2.9871411150856932,0.543087548495961
2022-03-22,0.6303447613719831,,0.46238028549568383,1.4946266072503562,0.41172573091339104,2.6204225680226494,1.4610885567436211,0.8756147402446293,3.0198499139643427,0.5860199431335034
2022-03-23,0.6355348386964599,,0.4533344518862927,1.480199556847456,0.407037984601885,2.5818390898826564,1.4391287869394909,0.8462338771396485,3.00404717670224,0.5890444717926233
2022-03-24,0.6499474146797756,,0.4737934912166143,1.491126754701625,0.4167418229868029,2.65574095892465,1.461281243352001,0.9292925907401436,3.0222387659223755,0.597775953643176
2022-03-25,0.6523743849534255,,0.4756389218044034,1.4847148841072966,0.41703909801338784,2.6829550330247582,1.4592625713252796,0.914173109799211,3.0363874639833974,0.5958421855070153
2022-03-28,0.6556601132361021,,0.47867188283769807,1.5100957744859487,0.41639882377767157,2.7043631458222976,1.4929958861393817,0.9315704254233879,3.045392156968892,0.6437151725924746
2022-03-29,0.6682059856376263,,0.48516883973420105,1.5228406140068405,0.4194896609284158,2.780200335298481,1.515628546619086,0.9459968168788451,3.0905968778149293,0.6482725846686331
2022-03-30,0.6637624270802982,,0.47731794744209555,1.5401801948038298,0.4178205699720614,2.755888870458286,1.5081801656121228,0.9141071313134258,3.0863705202992233,0.644982760682398
2022-03-31,0.719916134407788,,0.4762515847501956,1.5385234305635893,0.7786605437092582,2.755888870458286,2.4266453418315574,0.9007701417967786,3.0863705202992233,0.8910387899709302
2022-04-01,2.6809861082467994,,0.4742094881525405,1.537775572548126,0.8485068354414051,2.755888870458286,1.6995641716703043,0.8818212594485644,1.577902037521889,1.7215714227585568
2022-04-04,2.744508022995471,,0.48016186948773143,1.536599903541857,0.865586013154448,2.755888870458286,1.7300491035863907,0.903212985771432,1.5738128229902302,1.8181746709914435
2022-04-05,2.6925211888662797,,0.4644828733342445,1.5371076408974116,0.8511738407754158,2.755888870458286,1.707584247388763,0.8560386838197784,1.5754858214279706,1.732158697219122
2022-04-06,2.642842710980719,,0.4553161498789394,1.5624091172598065,0.8266964951898653,2.755888870458286,1.6450765828772262,0.8057281330232647,1.6023477169093245,1.6599365234375
2022-04-07,2.6476101869381754,,0.4561102865474483,1.6245542568119753,0.8227038006810388,2.755888870458286,1.6553477774991134,0.7991587952244577,1.6038351105938997,1.6781905401320685
2022-04-08,2.616080280564588,,0.4439710932997541,1.6031532895190417,0.8069566373507746,2.755888870458286,1.6311800166705992,0.7632083420128848,1.609225954328265,1.6277618408203125
2022-04-11,2.54932843794734,,0.43913796975379404,1.5620885578866563,0.7799303724828152,2.755888870458286,1.5668601850178494,0.7235276443535467,1.6042999211203295,1.5490952264694942
2022-04-12,2.5787050590752094,,0.4425112750735925,1.5532449105665491,0.773216210739062,2.755888870458286,1.5492830973201628,0.7098937516508663,1.6108064698468292,1.5665873209635417
2022-04-13,2.620847756522044,,0.44816113844699085,1.5792409607012414,0.7864113386918179,2.755888870458286,1.5798228333751314,0.7329693170540732,1.608017606688251,1.622809564499628
2022-04-14,2.54225332366754,,0.4340251784340302,1.5773708887055058,0.7672558649560657,,1.537034285838102,0.7017727209741293,1.5977933723938293,1.563492111932664
2022-04-18,2.5388699999507187,,0.44359289180990663,1.555275859988767,0.772986177808293,,1.5408244156069266,0.719104058112521,1.5840367378272453,1.5941111246744792
2022-04-19,2.5747067161228365,,0.45200330492141405,1.587817162108534,0.7871077626920878,,1.5670797473408165,0.7328041816087716,1.6070879856353915,1.6319841657366072
2022-04-20,2.572091328875621,,0.4520789575708366,1.6124771781589673,0.7751868385816848,,1.572901952341259,0.7091674836916596,1.6309760521198147,1.5511111304873515
2022-04-21,2.559633958709908,,0.44830484760226114,1.580977651306231,0.7556588752093518,,1.542416847541454,0.6662847479325151,1.6251208770451293,1.6012381417410715
2022-04-22,2.4884214318316933,,0.4439332360964104,1.5274360384142607,0.724303889159536,,1.5051763114267365,0.6442325429053869,1.6001171055685717,1.5953174409412203
2022-04-25,2.505186569024319,,0.44463662046424474,1.518111295860182,0.7451214043053085,,1.541923264524075,0.6570082106772902,1.6148958441071917,1.5841587611607142
2022-04-26,2.4116727746051305,,0.4236027753914746,1.47950532464082,0.7183374042041052,,1.484248737257316,0.6202325848547791,1.6108064698468292,1.3911429268973214
2022-04-27,2.408135097811683,,0.42320190898543286,1.4803599219254464,0.6919681238044115,,1.5556548996628985,0.6079192080219957,1.6252135196930086,1.3992222377232142
2022-04-28,2.5168760027204256,,0.43787494105202807,1.5039627922540892,0.717565496288219,,1.5908631876622787,0.6530467892214918,1.6498446441049064,1.3928729829334079
2022-04-29,2.424746121234777,,0.41930684741367874,1.4229313771990522,0.6908480038883905,,1.5243461768263884,0.61227675270029,1.5960270923933964,1.3821586972191222
2022-05-02,2.4295143151135195,,0.36152682729911767,1.4155184630428055,0.7058232593027686,,1.5625204579067318,0.61227675270029,1.5593124915813583,1.4332381475539435
2022-05-03,2.4528922252773517,,0.364550299463717,1.413189924538161,0.7103699676149351,,1.5477451237570798,0.61227675270029,1.5614504602742318,1.4432540166945687
2022-05-04,2.55348113397634,,0.3786576082323356,1.4569442295792077,0.7401993693147542,,1.592785827499851,0.61227675270029,1.616011549099326,1.5120952787853426
2022-05-05,2.411211151217824,,0.36381019387888086,1.3843950853745997,0.7053540777003428,,1.5234126047444811,0.61227675270029,1.5837580112400906,1.386158679780506
2022-05-06,2.422609348178652,,0.3638791082085969,1.3470369389074606,0.7007589071330484,,1.5090212453344434,0.61227675270029,1.5839440951793655,1.374047560918899
2022-05-09,2.3422047964534425,,0.35310265870958757,1.334914175847251,0.6811703426873649,,1.453270049440132,0.61227675270029,1.5959342900168139,1.2493809291294642
2022-05-10,2.379942807499668,,0.36468833299666736,1.3419523070816122,0.6925765064909035,,1.4802941950718447,0.61227675270029,1.5939828844493251,1.2699047270275299
2022-05-11,2.2565634875564116,,0.35573090424820847,1.3088222311531423,0.6877785571977393,,1.4311342774013767,0.61227675270029,1.5862678283541078,1.1650793892996651
2022-05-12,2.195874490204807,,0.3585285033588889,1.3010616885450856,0.6831864097077802,,1.4025720717647219,0.61227675270029,1.583851292802783,1.1555555797758557
2022-05-13,2.2659598806630026,,0.3689850940774622,1.3307396457259941,0.7025994031236108,,1.4342650286664245,0.61227675270029,1.6147099198966197,1.2215714227585566
2022-05-16,2.2417764628155648,,0.3654911810964809,1.3234069995001578,0.692879279313246,,1.4363525131299408,,1.6309760521198147,1.1497936430431548
2022-05-17,2.298768165540993,,0.381474055706699,1.3125422227705954,0.7051572986202612,,1.4655738379447938,,1.6215883170442633,1.2089047386532739
2022-05-18,2.169073531346293,,0.3579012318642531,1.1491133861894807,0.6774681891648938,,1.398846686948615,,1.5211104970847449,1.1266825358072918
2022-05-19,2.1156242915562236,,0.34262099659421313,1.1317989104685986,0.6682929169080993,,1.3936714992660497,,1.49833781613505,1.126063464936756
2022-05-20,2.1193211075682092,,0.34072658238893055,1.1144043376001365,0.6593567933229616,,1.3904781640947705,,1.5077257109393045,1.0538095383417039
2022-05-23,2.2043466793084012,,0.3301696548647729,1.1493272916848833,0.6749768478785003,,1.4350181101458297,,1.5392355519562524,1.0712698073614213
2022-05-24,2.1619878875542886,,0.32881474946072714,1.1713516163097286,0.6415694713713644,,1.4293470919575404,,1.5598702642130737,0.9970793951125373
2022-05-25,2.164452511331311,,0.3334753403008219,1.1777742462223888,0.6405704140753984,,1.4453134220464994,,1.5705596284913317,1.0457143147786458
2022-05-26,2.214666558496702,,0.3454123214533958,1.2443551282353098,0.6526033315738505,,1.4639221068946937,,1.5811555514781939,1.1233809698195685
2022-05-27,2.30492912671581,,0.3658738592194638,1.25979654326092,0.6799927377930927,,1.5043324659949238,,1.5965850247538154,1.2057619367327008
2022-05-31,2.292606247137794,,0.36389793096309014,1.2476469672962964,0.6887442211163718,,1.4967904137591452,,1.5592196892047756,1.2035872686476936
2022-06-01,2.2906044432835566,,0.3598144176056493,1.2476469672962964,0.6895312909278161,,1.4998179534440268,,1.5475082209544821,1.17519044421968
2022-06-02,2.3291125445632477,,0.36177149749834,1.6635281313523393,0.7121166551903415,,1.511710105814055,,1.5600496395468129,1.2301587785993304
2022-06-03,2.2393118390385425,,0.3533535775511178,1.6247727547332245,0.693460454303721,,1.4866047965780997,,1.5429217709696357,1.1167460123697919
2022-06-06,2.251018263538433,,0.35204261751674604,1.61187679373103,0.7072612209189261,,1.4796130332194901,,1.5493797621703507,1.1346666608537948
2022-06-07,2.2906044432835566,,0.3594192421980505,1.6095227907029837,0.7092530103028954,,1.500258634043431,,1.5589265870343294,1.1375555855887276
2022-06-08,2.279052132553197,,0.3546331407188111,1.596592647451862,0.7095223897479044,,1.4887520123664864,,1.5511580218235266,1.1517460414341518
2022-06-09,2.197107161053961,,0.34889993457368956,1.6104439696533783,0.6952434188071499,,1.4578110132000166,,1.5235477973674911,1.1414603097098215
2022-06-10,2.112235463776205,,0.33952225902083066,1.5806263802434608,0.673000127372325,,1.392845720182859,,1.5211140111162162,1.1058571225120908
2022-06-13,2.031369288663688,,0.32468734195199184,1.542894293878861,0.6441273203591328,,1.3337710941188174,,1.4950946845444557,1.0273174467540924
2022-06-14,2.0449236425553803,,0.32628686633688037,1.5515936762308895,0.6460828793239617,,1.346048604298211,,1.4612130320130903,1.0518571399507068
2022-06-15,2.086050481381625,,0.3303893048855736,1.5652061581325751,0.6645423011305005,,1.3860738649146542,,1.4768434439973883,1.1095238095238096
2022-06-16,2.0033352999953764,,0.3118658962117541,1.5412226295013787,0.6419538672817579,,1.3486913048248839,,1.4697299261985746,1.014761933826265
2022-06-17,2.0264402804167387,,0.3127879806992146,1.523926084962108,0.6486741681979457,,1.3634459793701303,,1.4700108889875747,1.032190450032552
2022-06-21,2.092827419020376,,0.3186193980871682,1.579944041592897,0.6753158046111013,,1.396974874924391,,1.5041733445792367,1.1287460327148438
2022-06-22,2.0848178105324706,,0.31376837731181945,1.569197752149842,0.6749738713100472,,1.3936164358015892,,1.516527880588776,1.1242222377232143
2022-06-23,2.129795339833137,,0.314071974256741,1.6205079204458692,0.6795416946546783,,1.4251627873096884,,1.5359021736483272,1.1193809872581846
2022-06-24,2.1820119087740517,,0.3219841383148653,1.6524747459722644,0.7142508082623586,,1.4738323203115766,,1.5549020626274828,1.17003173828125
2022-06-27,2.1820119087740517,,0.3198463855882293,1.6435363055990746,0.7012856667314896,,1.4583618207283418,,1.5569611253409554,1.1662857055664062
2022-06-28,2.1170110761749092,,0.31525468346866087,1.5987078101800778,0.6781220575380603,,1.4120599302564014,,1.5350600839248436,1.107920619419643
2022-06-29,2.144582603881079,,0.31016964591704116,1.602904171108913,0.676269422729275,,1.432870894357443,,1.5605176446473077,1.0880476452055432
2022-06-30,2.1059203888318567,,0.30726026269294165,1.635109619213808,0.6596898434275383,,1.4139868057450862,,1.5598627569640215,1.0689206077938989
2022-07-01,2.1399611052519063,,0.30221945221208363,1.6572166076952883,0.6583246217029542,,1.429127097425276,,1.5854145576213974,1.0822063627697174
2022-07-05,11.312317254975095,,0.3012454322877356,1.6657459496880027,3.2902496452331556,,2.498954076352326,,2.943999302494635,0.6839999970145849
2022-07-06,11.420999441872754,,0.30523636842409746,1.6807227823088202,3.3282756271362315,,2.530898318083389,,2.973437202728548,0.6800869684634003
2022-07-07,11.695099197347655,,0.31531161269755675,1.688569350208309,3.450603567123414,,2.5517186040463646,,2.967514663558824,0.7176815265157951
2022-07-08,11.750237973030481,,0.31540646913652676,1.7110517991246643,3.467176082611085,,2.5446831744650127,,2.993992037386509,0.7359358779243803
2022-07-11,11.57682495918175,,0.3053944539526509,1.7020453208356159,3.3603608722686777,,2.514735876995583,,2.9694305780771626,0.6877467528633451
2022-07-12,11.655938896920121,,0.3044520869868793,1.6736265909757537,3.312254762649537,,2.411678297623343,,2.9525345604698954,0.6840098041036856
2022-07-13,11.626373130818374,,0.30467972707489344,1.6792557759822409,3.2347792625427254,,2.4026466701341707,,2.9629857329634945,0.6956608498614769
2022-07-14,11.864510763974337,,0.3065202595448647,1.746532429208,3.206136257171632,,2.415576354317042,,2.978314535467476,0.6993978434023652
2022-07-15,12.000361324921066,,0.3127311282978881,1.7840940397706242,3.247096120834352,,2.440675337418265,,2.980753350472666,0.7045434752754545
2022-07-18,11.75263288202562,,0.3105806990223077,1.7614067150820352,3.167282352447511,,2.4171928074048905,,2.9309339248382305,0.7059521583888844
2022-07-19,12.066686274811362,,0.3219272090859694,1.7748147566541486,3.3061395149230965,,2.4673906243365735,,2.9622889286762972,0.7205771703305454
2022-07-20,12.229706451335927,,0.32367913375927865,1.7883587651973138,3.308754278182984,,2.493439865112304,,2.9309339248382305,0.7263586956521741
2022-07-21,12.414304397863363,,0.32741710231892734,1.8063034661382213,3.3215359783172618,,2.517873249883236,,2.9352895461761213,0.7973999952233358
2022-07-22,12.313617656237195,,0.324153492781698,1.807190353979023,3.134456663131715,,2.4752812261166772,,2.954450474988234,0.7989750406016476
2022-07-25,12.222514275177893,,0.32452666989527,1.8052119202465169,3.123127063751222,,2.4607352381167193,,2.958630706168511,0.7877934364650563
2022-07-26,12.114635357393691,,0.3232490786351903,1.7464982469590726,3.0507931652069105,,2.3948507060175346,,2.9931210320275126,0.7596977830969771
2022-07-27,12.529377974863138,,0.33381130726163377,1.7819106214052187,3.284352647781373,,2.5549512116805357,,2.988939314489967,0.8065369780167292
2022-07-28,12.574127637808102,,0.3374923209831968,1.83238648156182,3.3180502223968515,,2.6278714719025977,,3.0455525819245772,0.8243804168701174
2022-07-29,12.986474104753642,,0.3386750558043065,1.8498840917500365,3.37905429840088,,2.669036467179007,,3.047642697514716,0.8720706342614217
2022-08-01,12.906560622488119,,0.33923792018662874,1.8687148096464228,3.336641664505006,,2.6430824611497954,,3.0823057380882486,0.8724424080226735
2022-08-02,12.786693502911756,,0.37087242868974474,1.8572663689117057,3.344485284805299,,2.6127545232358176,,3.0568747597771737,0.8821565312924595
2022-08-03,13.275755274014223,,0.3817148716149733,1.8693984546249711,3.4301817684173592,,2.6854843139648428,,3.080216514312471,0.9021423936926802
2022-08-04,13.250182264433144,,0.38594578823011405,1.8566510884310123,3.433377416610719,,2.6967026088548733,,3.0634935086911876,0.9057717331596046
2022-08-05,13.231775358905955,,0.38499625254584613,1.8477314809529322,3.4124613189697275,,2.6896671792735214,,3.040500453570943,0.8457163437553077
2022-08-08,13.193366183383583,,0.38087015829270676,1.8519354621283433,3.407523239135743,,2.665044071363365,,3.0283069730878966,0.8523293669327447
2022-08-09,13.197365147548098,,0.37198253368797385,1.8311567914857558,3.388059688568116,,2.6838677116062324,,3.0396300427548537,0.8315217689845875
2022-08-10,13.543065108652202,,0.3842771960194524,1.8448266429580937,3.4772417049407967,,2.749087690270464,,3.064713213465237,0.8638728033978008
2022-08-11,13.483048366436506,,0.3808003615257754,1.818785538890664,3.452259189605714,,2.7287414882494048,,3.049036008817657,0.8411967534604282
2022-08-12,13.771929763433514,,0.38973686365583204,1.835906600037352,3.534760471343995,,2.775232165792713,,3.088925378816623,0.8805228225044585
2022-08-15,13.859155850147651,,0.3902465298814317,1.8650919267027777,3.5463801784515394,,2.790063410219938,,3.1228925069173195,0.9077869780167291
2022-08-16,13.846351963954348,,0.38514291339106277,1.8899374140824052,3.535341133117677,,2.782837809687074,,3.14100852657009,0.8996967116646147
2022-08-17,13.967985778968805,,0.3760248944361919,1.901214943572485,3.4728847332000745,,2.7755014502483855,,3.1392668131235495,0.8921641507356065
2022-08-18,13.935974201192392,,0.3898905070046664,1.9170728944188389,3.490895513534547,,2.7645446777343743,,3.142402135144484,0.8888575943656593
2022-08-19,13.72551645193827,,0.3828948016493792,1.8950980627851226,3.4049084758758554,,2.7262453825577433,,3.138395807764553,0.8706521440588912
2022-08-22,13.409425710442823,,0.36915490241526844,1.8641350414541404,3.318630884170533,,2.646215952997621,,3.108434709772335,0.8508325991423236
2022-08-23,13.38221760747315,,0.36987401548015303,1.8525159071961173,3.3075922851562507,,2.633734528914741,,3.10704110119794,0.8700261024806812
2022-08-24,13.406226290805456,,0.3706140477866452,1.8564455594947862,3.3026537590026863,,2.6275415835173224,,3.1225441047737204,0.871914168648098
2022-08-25,13.606281270505262,,0.3840817424566482,1.8822479321230507,3.3886407966613783,,2.656695656154466,,3.122718603116973,0.8689011084515118
2022-08-26,13.093338693533681,,0.36364635725356503,1.817486613431422,3.2053373451232923,,2.5541815716287357,,3.049036008817657,0.8454815109916357
2022-08-29,12.914086769884976,,0.35898266676035523,1.8148895245375958,3.1786119518280036,,2.52693398517111,,3.03945465259724,0.8358848041036857
2022-08-30,12.716429182237851,,0.35354394663482863,1.791240742452424,3.164668035507203,,2.5054022747537354,,3.0133268699989673,0.8149891662597658
2022-08-31,12.581190694974174,,0.3484613059245582,1.7842684345565534,3.1437521610260015,,2.4911107934039562,,3.0007849873723225,0.8088553917926293
2022-09-01,12.64040789266272,,0.3435043785486514,2.2891096219633504,3.187907449722291,,2.4809160481328543,,3.031122431024776,0.8134043585735821
2022-09-02,12.468356835873433,,0.3492362790183842,2.2455913885319756,3.13300366973877,,2.4395675990892487,,2.992718526479362,0.7930075836181643
2022-09-06,12.365926987855778,,0.34782595463384036,2.24468276350151,3.1027920742034922,,2.4127961863642144,,2.972551333796872,0.8053630828857424
2022-09-07,12.480361177539585,,0.3526642925252283,2.291142384542881,3.1794831676483164,,2.4589077161706,,3.038137442786416,0.8325978619119397
2022-09-08,12.360328934636964,,0.35741177306185024,2.2888928692831985,3.1484001331329354,,2.463004900061565,,3.0279654081877303,0.848915246051291
2022-09-09,12.59319255358279,,0.36472160627219663,2.321164077599072,3.2143427352905283,,2.519597327190896,,3.0376106777706675,0.8794956306789234
2022-09-12,13.078131207643857,,0.369371331758171,2.3338823477024833,3.220443254470826,,2.540462394382642,,3.0495354248596755,0.893406561146612
2022-09-13,12.310716203504358,,0.35163099506679363,2.2074805350589752,3.0304583988189706,,2.400791533096976,,2.9357253461270734,0.8573380578082543
2022-09-14,12.428347329767995,,0.3565879789811913,2.1975311323140976,3.0502122802734384,,2.4029828278914733,,2.957995734343659,0.8880945222274119
